boro,reported,candidate,party,votes,scrape_time
New York,97.98%,Jumaane D. Williams,(Democratic),318295,2025-11-05_01:51:36.953752
New York,97.98%,Gonzalo Duran,(Republican),85475,2025-11-05_01:51:36.953752
New York,97.98%,Gonzalo Duran,(Conservative/United Alliance),9214,2025-11-05_01:51:36.953752
New York,97.98%,Jumaane D. Williams,(Working Families),53075,2025-11-05_01:51:36.953752
New York,97.98%,Marty Dolan,(The Unity ),16291,2025-11-05_01:51:36.953752
New York,97.98%,WRITE-IN,,933,2025-11-05_01:51:36.953752
Bronx,97.98%,Jumaane D. Williams,(Democratic),143760,2025-11-05_01:51:36.953752
Bronx,97.98%,Gonzalo Duran,(Republican),31425,2025-11-05_01:51:36.953752
Bronx,97.98%,Gonzalo Duran,(Conservative/United Alliance),5178,2025-11-05_01:51:36.953752
Bronx,97.98%,Jumaane D. Williams,(Working Families),18260,2025-11-05_01:51:36.953752
Bronx,97.98%,Marty Dolan,(The Unity ),2892,2025-11-05_01:51:36.953752
Bronx,97.98%,WRITE-IN,,284,2025-11-05_01:51:36.953752
Kings,97.98%,Jumaane D. Williams,(Democratic),366042,2025-11-05_01:51:36.953752
Kings,97.98%,Gonzalo Duran,(Republican),96959,2025-11-05_01:51:36.953752
Kings,97.98%,Gonzalo Duran,(Conservative/United Alliance),12897,2025-11-05_01:51:36.953752
Kings,97.98%,Jumaane D. Williams,(Working Families),95711,2025-11-05_01:51:36.953752
Kings,97.98%,Marty Dolan,(The Unity ),10348,2025-11-05_01:51:36.953752
Kings,97.98%,WRITE-IN,,1349,2025-11-05_01:51:36.953752
Queens,97.98%,Jumaane D. Williams,(Democratic),272117,2025-11-05_01:51:36.953752
Queens,97.98%,Gonzalo Duran,(Republican),124601,2025-11-05_01:51:36.953752
Queens,97.98%,Gonzalo Duran,(Conservative/United Alliance),13724,2025-11-05_01:51:36.953752
Queens,97.98%,Jumaane D. Williams,(Working Families),44733,2025-11-05_01:51:36.953752
Queens,97.98%,Marty Dolan,(The Unity ),9952,2025-11-05_01:51:36.953752
Queens,97.98%,WRITE-IN,,690,2025-11-05_01:51:36.953752
Richmond,97.98%,Jumaane D. Williams,(Democratic),44343,2025-11-05_01:51:36.953752
Richmond,97.98%,Gonzalo Duran,(Republican),79944,2025-11-05_01:51:36.953752
Richmond,97.98%,Gonzalo Duran,(Conservative/United Alliance),5696,2025-11-05_01:51:36.953752
Richmond,97.98%,Jumaane D. Williams,(Working Families),5860,2025-11-05_01:51:36.953752
Richmond,97.98%,Marty Dolan,(The Unity ),2831,2025-11-05_01:51:36.953752
Richmond,97.98%,WRITE-IN,,216,2025-11-05_01:51:36.953752
Total,,Jumaane D. Williams,(Democratic),1144557,2025-11-05_01:51:36.953752
Total,,Gonzalo Duran,(Republican),418404,2025-11-05_01:51:36.953752
Total,,Gonzalo Duran,(Conservative/United Alliance),46709,2025-11-05_01:51:36.953752
Total,,Jumaane D. Williams,(Working Families),217639,2025-11-05_01:51:36.953752
Total,,Marty Dolan,(The Unity ),42314,2025-11-05_01:51:36.953752
Total,,WRITE-IN,,3472,2025-11-05_01:51:36.953752
