AD_num,reported,candidate,party,votes,scrape_time
AD   78,97.98%,Oswald J. Feliz,(Democratic),5922,2025-11-05_01:52:19.862399
AD   78,97.98%,Aramis Ocasio,(Republican),782,2025-11-05_01:52:19.862399
AD   78,97.98%,Gary Lutz,(Conservative),187,2025-11-05_01:52:19.862399
AD   78,97.98%,WRITE-IN,,23,2025-11-05_01:52:19.862399
AD   79,97.98%,Oswald J. Feliz,(Democratic),1991,2025-11-05_01:52:19.862399
AD   79,97.98%,Aramis Ocasio,(Republican),232,2025-11-05_01:52:19.862399
AD   79,97.98%,Gary Lutz,(Conservative),48,2025-11-05_01:52:19.862399
AD   79,97.98%,WRITE-IN,,4,2025-11-05_01:52:19.862399
AD   80,97.98%,Oswald J. Feliz,(Democratic),478,2025-11-05_01:52:19.862399
AD   80,97.98%,Aramis Ocasio,(Republican),85,2025-11-05_01:52:19.862399
AD   80,97.98%,Gary Lutz,(Conservative),21,2025-11-05_01:52:19.862399
AD   80,97.98%,WRITE-IN,,1,2025-11-05_01:52:19.862399
AD   86,97.98%,Oswald J. Feliz,(Democratic),3953,2025-11-05_01:52:19.862399
AD   86,97.98%,Aramis Ocasio,(Republican),553,2025-11-05_01:52:19.862399
AD   86,97.98%,Gary Lutz,(Conservative),116,2025-11-05_01:52:19.862399
AD   86,97.98%,WRITE-IN,,9,2025-11-05_01:52:19.862399
AD   87,97.98%,Oswald J. Feliz,(Democratic),1595,2025-11-05_01:52:19.862399
AD   87,97.98%,Aramis Ocasio,(Republican),235,2025-11-05_01:52:19.862399
AD   87,97.98%,Gary Lutz,(Conservative),42,2025-11-05_01:52:19.862399
AD   87,97.98%,WRITE-IN,,2,2025-11-05_01:52:19.862399
Total,,Oswald J. Feliz,(Democratic),13939,2025-11-05_01:52:19.862399
Total,,Aramis Ocasio,(Republican),1887,2025-11-05_01:52:19.862399
Total,,Gary Lutz,(Conservative),414,2025-11-05_01:52:19.862399
Total,,WRITE-IN,,39,2025-11-05_01:52:19.862399
