boro,reported,candidate,party,votes,scrape_time
Queens,0.00%,Shanel Thomas-Henry,(Democratic),10647,2025-11-04_22:11:03.360602
Queens,0.00%,Giovanni Enrique Franco,(Republican),3308,2025-11-04_22:11:03.360602
Queens,0.00%,Shanel Thomas-Henry,(Working Families),1293,2025-11-04_22:11:03.360602
Queens,0.00%,Giovanni Enrique Franco,(United Alliance),406,2025-11-04_22:11:03.360602
Queens,0.00%,WRITE-IN,,44,2025-11-04_22:11:03.360602
Total,,Shanel Thomas-Henry,(Democratic),10647,2025-11-04_22:11:03.360602
Total,,Giovanni Enrique Franco,(Republican),3308,2025-11-04_22:11:03.360602
Total,,Shanel Thomas-Henry,(Working Families),1293,2025-11-04_22:11:03.360602
Total,,Giovanni Enrique Franco,(United Alliance),406,2025-11-04_22:11:03.360602
Total,,WRITE-IN,,44,2025-11-04_22:11:03.360602
