ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Zohran Kwame Mamdani,(Democratic),66,AD 23,2025-11-06_10:53:20.500585
ED    1,99.00%,Curtis A. Sliwa,(Republican),332,AD 23,2025-11-06_10:53:20.500585
ED    1,99.00%,Irene Estrada,(Conservative),5,AD 23,2025-11-06_10:53:20.500585
ED    1,99.00%,Zohran Kwame Mamdani,(Working Families),12,AD 23,2025-11-06_10:53:20.500585
ED    1,99.00%,Curtis A. Sliwa,(Protect Animals),14,AD 23,2025-11-06_10:53:20.500585
ED    1,99.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),1,AD 23,2025-11-06_10:53:20.500585
ED    1,99.00%,Joseph Hernandez,(Quality of Life),0,AD 23,2025-11-06_10:53:20.500585
ED    1,99.00%,Andrew M. Cuomo,(Fight and Deliver),662,AD 23,2025-11-06_10:53:20.500585
ED    1,99.00%,Jim Walden,(Integrity),2,AD 23,2025-11-06_10:53:20.500585
ED    1,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-11-06_10:53:20.500585
ED    2,99.00%,Zohran Kwame Mamdani,(Democratic),67,AD 23,2025-11-06_10:53:20.500585
ED    2,99.00%,Curtis A. Sliwa,(Republican),353,AD 23,2025-11-06_10:53:20.500585
ED    2,99.00%,Irene Estrada,(Conservative),4,AD 23,2025-11-06_10:53:20.500585
ED    2,99.00%,Zohran Kwame Mamdani,(Working Families),8,AD 23,2025-11-06_10:53:20.500585
ED    2,99.00%,Curtis A. Sliwa,(Protect Animals),16,AD 23,2025-11-06_10:53:20.500585
ED    2,99.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),1,AD 23,2025-11-06_10:53:20.500585
ED    2,99.00%,Joseph Hernandez,(Quality of Life),1,AD 23,2025-11-06_10:53:20.500585
ED    2,99.00%,Andrew M. Cuomo,(Fight and Deliver),627,AD 23,2025-11-06_10:53:20.500585
ED    2,99.00%,Jim Walden,(Integrity),1,AD 23,2025-11-06_10:53:20.500585
ED    2,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-11-06_10:53:20.500585
ED    3,99.00%,Zohran Kwame Mamdani,(Democratic),28,AD 23,2025-11-06_10:53:20.500585
ED    3,99.00%,Curtis A. Sliwa,(Republican),148,AD 23,2025-11-06_10:53:20.500585
ED    3,99.00%,Irene Estrada,(Conservative),0,AD 23,2025-11-06_10:53:20.500585
ED    3,99.00%,Zohran Kwame Mamdani,(Working Families),5,AD 23,2025-11-06_10:53:20.500585
ED    3,99.00%,Curtis A. Sliwa,(Protect Animals),9,AD 23,2025-11-06_10:53:20.500585
ED    3,99.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),0,AD 23,2025-11-06_10:53:20.500585
ED    3,99.00%,Joseph Hernandez,(Quality of Life),1,AD 23,2025-11-06_10:53:20.500585
ED    3,99.00%,Andrew M. Cuomo,(Fight and Deliver),184,AD 23,2025-11-06_10:53:20.500585
ED    3,99.00%,Jim Walden,(Integrity),0,AD 23,2025-11-06_10:53:20.500585
ED    3,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-11-06_10:53:20.500585
ED    4,99.00%,Zohran Kwame Mamdani,(Democratic),91,AD 23,2025-11-06_10:53:20.500585
ED    4,99.00%,Curtis A. Sliwa,(Republican),215,AD 23,2025-11-06_10:53:20.500585
ED    4,99.00%,Irene Estrada,(Conservative),2,AD 23,2025-11-06_10:53:20.500585
ED    4,99.00%,Zohran Kwame Mamdani,(Working Families),11,AD 23,2025-11-06_10:53:20.500585
ED    4,99.00%,Curtis A. Sliwa,(Protect Animals),11,AD 23,2025-11-06_10:53:20.500585
ED    4,99.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),3,AD 23,2025-11-06_10:53:20.500585
ED    4,99.00%,Joseph Hernandez,(Quality of Life),0,AD 23,2025-11-06_10:53:20.500585
ED    4,99.00%,Andrew M. Cuomo,(Fight and Deliver),757,AD 23,2025-11-06_10:53:20.500585
ED    4,99.00%,Jim Walden,(Integrity),0,AD 23,2025-11-06_10:53:20.500585
ED    4,99.00%,WRITE-IN,&nbsp,2,AD 23,2025-11-06_10:53:20.500585
ED    5,99.00%,Zohran Kwame Mamdani,(Democratic),70,AD 23,2025-11-06_10:53:20.500585
ED    5,99.00%,Curtis A. Sliwa,(Republican),259,AD 23,2025-11-06_10:53:20.500585
ED    5,99.00%,Irene Estrada,(Conservative),0,AD 23,2025-11-06_10:53:20.500585
ED    5,99.00%,Zohran Kwame Mamdani,(Working Families),12,AD 23,2025-11-06_10:53:20.500585
ED    5,99.00%,Curtis A. Sliwa,(Protect Animals),15,AD 23,2025-11-06_10:53:20.500585
ED    5,99.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),1,AD 23,2025-11-06_10:53:20.500585
ED    5,99.00%,Joseph Hernandez,(Quality of Life),0,AD 23,2025-11-06_10:53:20.500585
ED    5,99.00%,Andrew M. Cuomo,(Fight and Deliver),731,AD 23,2025-11-06_10:53:20.500585
ED    5,99.00%,Jim Walden,(Integrity),0,AD 23,2025-11-06_10:53:20.500585
ED    5,99.00%,WRITE-IN,&nbsp,3,AD 23,2025-11-06_10:53:20.500585
ED    6,99.00%,Zohran Kwame Mamdani,(Democratic),105,AD 23,2025-11-06_10:53:20.500585
ED    6,99.00%,Curtis A. Sliwa,(Republican),281,AD 23,2025-11-06_10:53:20.500585
ED    6,99.00%,Irene Estrada,(Conservative),1,AD 23,2025-11-06_10:53:20.500585
ED    6,99.00%,Zohran Kwame Mamdani,(Working Families),13,AD 23,2025-11-06_10:53:20.500585
ED    6,99.00%,Curtis A. Sliwa,(Protect Animals),10,AD 23,2025-11-06_10:53:20.500585
ED    6,99.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),2,AD 23,2025-11-06_10:53:20.500585
ED    6,99.00%,Joseph Hernandez,(Quality of Life),1,AD 23,2025-11-06_10:53:20.500585
ED    6,99.00%,Andrew M. Cuomo,(Fight and Deliver),660,AD 23,2025-11-06_10:53:20.500585
ED    6,99.00%,Jim Walden,(Integrity),0,AD 23,2025-11-06_10:53:20.500585
ED    6,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-11-06_10:53:20.500585
ED    7,99.00%,Zohran Kwame Mamdani,(Democratic),131,AD 23,2025-11-06_10:53:20.500585
ED    7,99.00%,Curtis A. Sliwa,(Republican),351,AD 23,2025-11-06_10:53:20.500585
ED    7,99.00%,Irene Estrada,(Conservative),3,AD 23,2025-11-06_10:53:20.500585
ED    7,99.00%,Zohran Kwame Mamdani,(Working Families),17,AD 23,2025-11-06_10:53:20.500585
ED    7,99.00%,Curtis A. Sliwa,(Protect Animals),11,AD 23,2025-11-06_10:53:20.500585
ED    7,99.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),4,AD 23,2025-11-06_10:53:20.500585
ED    7,99.00%,Joseph Hernandez,(Quality of Life),4,AD 23,2025-11-06_10:53:20.500585
ED    7,99.00%,Andrew M. Cuomo,(Fight and Deliver),629,AD 23,2025-11-06_10:53:20.500585
ED    7,99.00%,Jim Walden,(Integrity),1,AD 23,2025-11-06_10:53:20.500585
ED    7,99.00%,WRITE-IN,&nbsp,7,AD 23,2025-11-06_10:53:20.500585
ED    8,50.00%,Zohran Kwame Mamdani,(Democratic),67,AD 23,2025-11-06_10:53:20.500585
ED    8,50.00%,Curtis A. Sliwa,(Republican),119,AD 23,2025-11-06_10:53:20.500585
ED    8,50.00%,Irene Estrada,(Conservative),0,AD 23,2025-11-06_10:53:20.500585
ED    8,50.00%,Zohran Kwame Mamdani,(Working Families),13,AD 23,2025-11-06_10:53:20.500585
ED    8,50.00%,Curtis A. Sliwa,(Protect Animals),9,AD 23,2025-11-06_10:53:20.500585
ED    8,50.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),0,AD 23,2025-11-06_10:53:20.500585
ED    8,50.00%,Joseph Hernandez,(Quality of Life),0,AD 23,2025-11-06_10:53:20.500585
ED    8,50.00%,Andrew M. Cuomo,(Fight and Deliver),167,AD 23,2025-11-06_10:53:20.500585
ED    8,50.00%,Jim Walden,(Integrity),2,AD 23,2025-11-06_10:53:20.500585
ED    8,50.00%,WRITE-IN,&nbsp,0,AD 23,2025-11-06_10:53:20.500585
ED    9,50.00%,Zohran Kwame Mamdani,(Democratic),68,AD 23,2025-11-06_10:53:20.500585
ED    9,50.00%,Curtis A. Sliwa,(Republican),54,AD 23,2025-11-06_10:53:20.500585
ED    9,50.00%,Irene Estrada,(Conservative),0,AD 23,2025-11-06_10:53:20.500585
ED    9,50.00%,Zohran Kwame Mamdani,(Working Families),8,AD 23,2025-11-06_10:53:20.500585
ED    9,50.00%,Curtis A. Sliwa,(Protect Animals),1,AD 23,2025-11-06_10:53:20.500585
ED    9,50.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),0,AD 23,2025-11-06_10:53:20.500585
ED    9,50.00%,Joseph Hernandez,(Quality of Life),0,AD 23,2025-11-06_10:53:20.500585
ED    9,50.00%,Andrew M. Cuomo,(Fight and Deliver),97,AD 23,2025-11-06_10:53:20.500585
ED    9,50.00%,Jim Walden,(Integrity),0,AD 23,2025-11-06_10:53:20.500585
ED    9,50.00%,WRITE-IN,&nbsp,1,AD 23,2025-11-06_10:53:20.500585
ED   10,99.00%,Zohran Kwame Mamdani,(Democratic),150,AD 23,2025-11-06_10:53:20.500585
ED   10,99.00%,Curtis A. Sliwa,(Republican),289,AD 23,2025-11-06_10:53:20.500585
ED   10,99.00%,Irene Estrada,(Conservative),0,AD 23,2025-11-06_10:53:20.500585
ED   10,99.00%,Zohran Kwame Mamdani,(Working Families),14,AD 23,2025-11-06_10:53:20.500585
ED   10,99.00%,Curtis A. Sliwa,(Protect Animals),13,AD 23,2025-11-06_10:53:20.500585
ED   10,99.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),0,AD 23,2025-11-06_10:53:20.500585
ED   10,99.00%,Joseph Hernandez,(Quality of Life),0,AD 23,2025-11-06_10:53:20.500585
ED   10,99.00%,Andrew M. Cuomo,(Fight and Deliver),474,AD 23,2025-11-06_10:53:20.500585
ED   10,99.00%,Jim Walden,(Integrity),3,AD 23,2025-11-06_10:53:20.500585
ED   10,99.00%,WRITE-IN,&nbsp,2,AD 23,2025-11-06_10:53:20.500585
ED   11,99.00%,Zohran Kwame Mamdani,(Democratic),240,AD 23,2025-11-06_10:53:20.500585
ED   11,99.00%,Curtis A. Sliwa,(Republican),77,AD 23,2025-11-06_10:53:20.500585
ED   11,99.00%,Irene Estrada,(Conservative),1,AD 23,2025-11-06_10:53:20.500585
ED   11,99.00%,Zohran Kwame Mamdani,(Working Families),29,AD 23,2025-11-06_10:53:20.500585
ED   11,99.00%,Curtis A. Sliwa,(Protect Animals),5,AD 23,2025-11-06_10:53:20.500585
