AD_num,reported,candidate,party,votes,scrape_time
AD   82,0.00%,Amanda C. Farias,(Democratic),696,2025-11-04_22:11:00.218354
AD   82,0.00%,Shuvonkar Saha,(Republican),91,2025-11-04_22:11:00.218354
AD   82,0.00%,Zenobia Merced Bonilla,(Conservative),31,2025-11-04_22:11:00.218354
AD   82,0.00%,Amanda C. Farias,(Working Families),72,2025-11-04_22:11:00.218354
AD   82,0.00%,Wilfredo Hierrezuelo,(United Alliance),6,2025-11-04_22:11:00.218354
AD   82,0.00%,WRITE-IN,,2,2025-11-04_22:11:00.218354
AD   85,0.00%,Amanda C. Farias,(Democratic),6981,2025-11-04_22:11:00.218354
AD   85,0.00%,Shuvonkar Saha,(Republican),703,2025-11-04_22:11:00.218354
AD   85,0.00%,Zenobia Merced Bonilla,(Conservative),184,2025-11-04_22:11:00.218354
AD   85,0.00%,Amanda C. Farias,(Working Families),783,2025-11-04_22:11:00.218354
AD   85,0.00%,Wilfredo Hierrezuelo,(United Alliance),111,2025-11-04_22:11:00.218354
AD   85,0.00%,WRITE-IN,,22,2025-11-04_22:11:00.218354
AD   87,0.00%,Amanda C. Farias,(Democratic),13259,2025-11-04_22:11:00.218354
AD   87,0.00%,Shuvonkar Saha,(Republican),1453,2025-11-04_22:11:00.218354
AD   87,0.00%,Zenobia Merced Bonilla,(Conservative),344,2025-11-04_22:11:00.218354
AD   87,0.00%,Amanda C. Farias,(Working Families),1477,2025-11-04_22:11:00.218354
AD   87,0.00%,Wilfredo Hierrezuelo,(United Alliance),152,2025-11-04_22:11:00.218354
AD   87,0.00%,WRITE-IN,,41,2025-11-04_22:11:00.218354
Total,,Amanda C. Farias,(Democratic),20936,2025-11-04_22:11:00.218354
Total,,Shuvonkar Saha,(Republican),2247,2025-11-04_22:11:00.218354
Total,,Zenobia Merced Bonilla,(Conservative),559,2025-11-04_22:11:00.218354
Total,,Amanda C. Farias,(Working Families),2332,2025-11-04_22:11:00.218354
Total,,Wilfredo Hierrezuelo,(United Alliance),269,2025-11-04_22:11:00.218354
Total,,WRITE-IN,,65,2025-11-04_22:11:00.218354
