ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,97.98%,Chi Ajani Osse,(Democratic),632,AD 43,2025-11-05_01:52:32.424234
ED    1,97.98%,WRITE-IN,&nbsp,4,AD 43,2025-11-05_01:52:32.424234
ED    2,97.98%,Chi Ajani Osse,(Democratic),642,AD 43,2025-11-05_01:52:32.424234
ED    2,97.98%,WRITE-IN,&nbsp,1,AD 43,2025-11-05_01:52:32.424234
ED    3,97.98%,Chi Ajani Osse,(Democratic),601,AD 43,2025-11-05_01:52:32.424234
ED    3,97.98%,WRITE-IN,&nbsp,2,AD 43,2025-11-05_01:52:32.424234
ED    4,97.98%,Chi Ajani Osse,(Democratic),548,AD 43,2025-11-05_01:52:32.424234
ED    4,97.98%,WRITE-IN,&nbsp,1,AD 43,2025-11-05_01:52:32.424234
ED    5,97.98%,Chi Ajani Osse,(Democratic),445,AD 43,2025-11-05_01:52:32.424234
ED    5,97.98%,WRITE-IN,&nbsp,8,AD 43,2025-11-05_01:52:32.424234
ED    6,97.98%,Chi Ajani Osse,(Democratic),467,AD 43,2025-11-05_01:52:32.424234
ED    6,97.98%,WRITE-IN,&nbsp,3,AD 43,2025-11-05_01:52:32.424234
ED    7,97.98%,Chi Ajani Osse,(Democratic),420,AD 43,2025-11-05_01:52:32.424234
ED    7,97.98%,WRITE-IN,&nbsp,1,AD 43,2025-11-05_01:52:32.424234
ED    8,97.98%,Chi Ajani Osse,(Democratic),448,AD 43,2025-11-05_01:52:32.424234
ED    8,97.98%,WRITE-IN,&nbsp,2,AD 43,2025-11-05_01:52:32.424234
ED    9,97.98%,Chi Ajani Osse,(Democratic),258,AD 43,2025-11-05_01:52:32.424234
ED    9,97.98%,WRITE-IN,&nbsp,2,AD 43,2025-11-05_01:52:32.424234
Total,,Chi Ajani Osse,(Democratic),4461,AD 43,2025-11-05_01:52:32.424234
Total,,WRITE-IN,&nbsp,24,AD 43,2025-11-05_01:52:32.424234
ED   59,97.98%,Chi Ajani Osse,(Democratic),338,AD 55,2025-11-05_01:52:32.424234
ED   59,97.98%,WRITE-IN,&nbsp,3,AD 55,2025-11-05_01:52:32.424234
ED   60,97.98%,Chi Ajani Osse,(Democratic),314,AD 55,2025-11-05_01:52:32.424234
ED   60,97.98%,WRITE-IN,&nbsp,3,AD 55,2025-11-05_01:52:32.424234
Total,,Chi Ajani Osse,(Democratic),652,AD 55,2025-11-05_01:52:32.424234
Total,,WRITE-IN,&nbsp,6,AD 55,2025-11-05_01:52:32.424234
ED    1,97.98%,Chi Ajani Osse,(Democratic),240,AD 56,2025-11-05_01:52:32.424234
